image_id,context,original_description,enhanced_description,file_name
11,dining,Friends enjoying a meal at a restaurant.,"Friends enjoying a meal at a charming restaurant, expressive faces and lively poses, cozy ambiance, simple background, illustrated in (Studio Ghibli style, Art by Hayao Miyazaki:1.2), 2D anime, warm lighting, colorful table setting, cartoonish characters",11_dining_1496cb2d-9b20-c8f1-8243-1561ba4b0c0c.png
12,travel,Tourists taking photos in front of a famous landmark.,"Tourists with expressive faces and animated poses, taking photos in front of a famous landmark, simple background, 2D anime style, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), vibrant colors, clear bright sky, playful and cheerful mood, minimalistic details, sharp focus",12_travel_c82666c0-e6ff-3b9a-b0aa-01549887a9b2.png
13,weather,People walking under umbrellas in the rain.,"People walking under colorful umbrellas in the gentle rain, wearing bright raincoats, expressive faces, lively poses, simple background with soft pastel colors, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), characters and animals enjoying the moment, detailed puddles and raindrops, charming and whimsical mood.",13_weather_8ecd706c-7b6e-e3bf-4217-7f7f1bf85aa9.png
14,entertainment,A group of friends playing board games.,"A group of friends with expressive faces and dynamic poses, playing board games at a round table, set against a simple background, 2D anime, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), warm colors, cheerful mood, detailed facial expressions, cozy atmosphere.",14_entertainment_84cbe4b1-3d88-d30d-c828-dc772827a87d.png
15,fitness,A person jogging in the park.,"A joyful person jogging along a winding path in a sunlit park, surrounded by lush green trees and colorful flowers, expressive face filled with determination, simple 2D anime illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), detailed yet minimalist background, vibrant colors, serene mood, sharp focus, animated movements.",15_fitness_dd6e9888-8db9-6cf5-6f07-9a6515191275.png
16,family,Parents reading a bedtime story to their child.,"Parents reading a bedtime story to their child, soft warm glow from a bedside lamp, cozy bedroom setting, child nestled in blankets, parents seated on either side, animated expressions, gentle smiles, engaging gestures, simple background, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), 2D anime, expressive faces and poses, soft pastel colors, whimsical atmosphere",16_family_ee2386bb-fa82-6bd3-5d93-d1fbb9eb990c.png
17,celebrations,A family celebrating a birthday with a cake.,"A joyful family celebrating a birthday with a colorful cake, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2). The scene shows expressive faces and animated poses, parents and children gathered around the table. The background features a simple, warmly lit room with minimal decorations but vibrant, adding a cozy atmosphere.",17_celebrations_97337e4b-ec21-f2b4-a979-4fb595b2a473.png
18,communication,A person making a video call on a laptop.,"A cheerful person with a warm smile, making a video call on a sleek laptop, expressive facial features, relaxed pose, simple background, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), vibrant colors, cozy atmosphere.",18_communication_947611ab-c01d-c464-da39-fbfb324a32f8.png
19,nature,People hiking in the mountains.,"People hiking in the mountains, expressive faces and dynamic poses, simple background, vibrant colors, lush green hills, tall trees, soft sunlight, clear blue sky, 2D anime illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2)",19_nature_be50f7a8-d0bc-97fa-3998-16ad64ca107e.png
20,office,Employees having a meeting in a conference room.,"Employees having a meeting in a sunlit conference room, expressive faces and poses, laptop on the table, modern office furniture, wall art, simple background, 2D anime style, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2)",20_office_42882a2e-08cb-08bb-e305-6f4ce3939eae.png
21,hobbies,A person painting on a canvas.,"A person painting on a canvas, expressive face filled with concentration, vibrant colors of paint on the palette, simple wooden easel, illustration by ((Studio Ghibli style)), art by (Hayao Miyazaki:1.2), soft lighting, gentle and warm atmosphere, simple background with a few potted plants, detailed brush strokes, whimsical and serene mood, highly detailed character, dynamic pose.",21_hobbies_353072cf-f081-8517-a48a-7df576df6c8d.png
22,social_events,Friends having a picnic in the park.,"Friends having a picnic in the park, vibrant and lively scene, expressive faces and poses, green grass, colorful picnic blanket, delicious food laid out, tall trees in the background, soft sunlight filtering through the leaves, (illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2))",22_social_events_dbec1391-30e3-211b-e810-5f748ba83267.png
23,errands,A man mailing a letter at the post office.,"A cheerful man with expressive eyes and a warm smile, mailing a letter at a quaint post office. The man wears casual clothing, and his enthusiastic pose conveys excitement. The post office is simple with a vintage mailbox and a few potted plants near the entrance. Illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), bright colors, soft shading, 2D anime style, minimalistic background.",23_errands_7d8c6ac6-6e8c-c0e9-ac00-de8d39b97a24.png
24,personal_care,A woman getting a haircut at the salon.,"A woman with long, flowing ((hair:1.2)) getting a haircut at a cozy salon, expressive face, joyful smile, whimsical atmosphere, warm colors, soft lighting, simple background with salon chairs and mirrors, characters in Studio Ghibli style, art by (Hayao Miyazaki:1.2), highly detailed haircutting tools, haircut in progress, animated expressions and dynamic poses, 2D anime illustration.",24_personal_care_09b73cee-5c3c-7e6b-df50-2885a977035c.png
25,school,Students studying together in a library.,"Students studying together in a cozy library, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), bright and warm atmosphere, wooden bookshelves lined with colorful books, expressive faces and poses, detailed yet simple background, anime style, sharp focus",25_school_bb98020d-2fc7-ad39-deb6-e1df4001161c.png
26,home_life,A person cleaning the kitchen.,"A cheerful person with an expressive face, animatedly cleaning the kitchen, sweeping the floor with a broom; bright colors, simple background, minimalistic design, 2D cartoon style; illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2); warm and cozy mood.",26_home_life_e3761092-4a81-f7dc-1070-b86cf3c15786.png
27,dating,A couple holding hands while walking in the park.,"A couple holding hands while walking in a serene park, vibrant autumn leaves falling around them, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), the characters have expressive faces full of joy and love, playful poses, simple background with large trees and a gentle pathway, 2D anime style",27_dating_f43f4721-1bee-2e1e-3aab-a2be95b6624a.png
28,education,Students working on a group project in class.,"Students working on a group project in class, expressive faces and dynamic poses, wooden desks, colorful school supplies scattered, simple chalkboard background, bright lighting, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2)",28_education_f9a86219-4653-04cc-3c75-a26390e5d3f3.png
29,sports,Children playing basketball at the playground.,"Illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2). Children with expressive faces and dynamic poses playing basketball on a simple playground. The scene features a vibrant atmosphere with bright colors. The children wear casual sports attire, and their movements are captured with fluidity. The background showcases minimalistic elements like a few trees, a fence, and a clear blue sky, keeping the focus on the lively action of the game.",29_sports_a6631ea9-fc80-2b81-ee4f-596c376ff29b.png
30,internet,A teenager watching a video on a tablet.,"A teenager with expressive eyes and an open-mouthed smile, sitting cross-legged on a wooden floor, watching a video on a tablet, bright and colorful screen reflection on the face, illustration by (Studio ghibli style, Art by (Hayao Miyazaki:1.2)), simple background, warm and cozy room, soft lighting, anime style, 2D cartoon, highly detailed facial expressions and relaxed pose",30_internet_f9cec340-ac19-28d9-20ff-145a0f506387.png
31,jobs,A chef cooking in a restaurant kitchen.,"A cheerful chef creating a culinary masterpiece in a bustling restaurant kitchen, expressive face and dynamic pose, surrounded by colorful ingredients and utensils, steaming pots, and pans, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), vibrant 2D anime aesthetic, simple background with warm tones",31_jobs_26bb4cf6-4061-41bd-9b8b-222ff2a1c56c.png
32,home_life,A man fixing a leaky faucet.,"A man with expressive face and determined pose, fixing a leaky faucet, simple background, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), 2D cartoon, vibrant colors, gentle shading, lighthearted mood, detailed hands and tools, water droplets falling",32_home_life_d1a2e3f6-1a6e-5a69-ae62-23452534600a.png
33,shopping,A couple browsing clothes in a store.,"An expressive couple excitedly browsing clothes in a quaint store, cheerful faces and animated poses, simple background, 2D anime, cartoon style, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), warm lighting, playful atmosphere.",33_shopping_b467edc4-5010-2971-6e5e-d03e42774bed.png
34,transportation,A woman riding a bicycle on a sunny day.,"A woman with a joyful expression riding a vintage bicycle, flowing hair, sunny day, green meadows, illustrated by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), expressive poses, simple background, 2D anime, colorful, clear blue sky, peaceful mood, gentle breeze, vibrant flowers along the path",34_transportation_89eb04e0-bad7-fdd8-9c71-d2e35ae671a6.png
35,healthcare,A nurse giving a patient an injection.,"A nurse giving a patient an injection, (Studio ghibli style, Art by Hayao Miyazaki:1.2), 2D anime illustration, simple background, expressive faces and poses, nurse in a classic white uniform, patient seated with a calm and trusting expression, bright colors, warm and gentle atmosphere, delicate linework, clean composition, smooth and soft shading, intimate and caring moment",35_healthcare_befd27a1-ff0d-c47f-9c47-73ae2ced31cf.png
36,dining,A family having breakfast together at home.,"An expressive family enjoying breakfast together at a cozy home, warm sunlight streaming through a window, wooden table with an array of delicious food, joyful expressions, lively conversation, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), simple background, soft colors, detailed character poses and facial expressions, 2D anime style",36_dining_973e1c42-44e8-e17b-b451-f267724814af.png
37,travel,A man checking into a hotel at the reception desk.,"A man with a friendly smile checking into a hotel at the reception desk, expressive faces and gestures, simple 2D anime, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), warm lighting, cozy atmosphere, detailed reception counter, minimalistic background",37_travel_0cfd7299-8d22-2565-744f-d042f4883486.png
38,weather,A family building a snowman in the yard.,"A family building a snowman in the yard, expressive faces, joyful and playful poses, simple background with snow-covered trees, bright and colorful, 2D anime style, (illustration by Studio Ghibli style, Art by Hayao Miyazaki:1.2), warm winter clothing with vibrant patterns, soft snowflakes falling, (smooth, whimsical:1.2) mood",38_weather_ff0cae45-1887-9113-4af6-f9a831985ca5.png
39,entertainment,People watching a concert at an outdoor venue.,"People with expressive faces and animated poses watching a lively concert at an outdoor venue, simple background, 2D anime style, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2)",39_entertainment_13b8178f-ab3a-da21-3502-8623cdb246aa.png
40,fitness,A person lifting weights at the gym.,"A determined person lifting heavy weights at the gym, muscles flexing, sweat glistening, bright colors, simple background, dynamic pose, expressive face, 2D anime illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2)",40_fitness_21206a92-2e07-5c3c-7799-493d1d97e597.png
41,family,Siblings playing with toys on the floor.,"Siblings with expressive faces and dynamic poses, playing with colorful toys on the floor in a cozy room, simple background, 2D illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), warm and cheerful mood, soft and bright colors, intricate toy details, children laughing and interacting joyfully",41_family_5f0d7781-14ca-0f7b-88c0-08de83c364b7.png
42,celebrations,Friends toasting drinks at a party.,"Friends joyfully toasting drinks at a lively party, expressive faces and dynamic poses, cheerful mood, vibrant colors, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), simple yet detailed background, 2D anime style, soft lighting",42_celebrations_667513b7-0184-7eb4-5125-e2bf24066d91.png
43,communication,A person writing an email on a laptop.,"A person with an expressive face and focused eyes, typing on a laptop, their posture slightly hunched, in a 2D anime style; simplified background with a desk and a window letting in soft sunlight; illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2); warm colors, gentle shadows, calming and serene mood.",43_communication_9636b152-b3af-35c9-6d2d-b3463bd2003a.png
44,nature,A family having a picnic in a meadow.,"A cheerful family having a picnic in a sunlit meadow, vibrant green grass, colorful flowers scattered, simple background, expressive faces and joyful poses, 2D anime style illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), gentle breeze, warm and inviting atmosphere, light shadows, clear blue sky with a few fluffy clouds.",44_nature_76a8bb60-23f3-7ae2-8fee-b25ef05218c3.png
45,office,A person working late at night in an office.,"A tired (person:1.1) in a dimly lit office, surrounded by (papers) and a glowing computer screen, moonlight filtering through the window, (expressive face:1.2), (slumped posture), cat curled up on the desk, animated by (Studio Ghibli style:1.2), (Art by Hayao Miyazaki:1.2), simple (background), serene (mood), soft (colors), gentle (shading), (illustration).",45_office_72294651-21d9-df2a-1561-22b83bc602c8.png
46,hobbies,A woman knitting a scarf.,"A cheerful woman knitting a colorful scarf, her face lit up with a warm smile, her hands skillfully maneuvering the needles; expressive posture, simple background with soft pastel colors, 2D illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), cozy atmosphere.",46_hobbies_4e0989f9-61f4-4174-627a-f7e5458e5cc8.png
47,social_events,A group of people dancing at a wedding.,"A joyful group of people dancing at a wedding, colorful attire, expressive faces, dynamic poses, cheerful atmosphere, simple background, 2D anime, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2)",47_social_events_438bca4f-2e5e-d47d-933e-8be5c5f5ad9f.png
48,errands,A woman grocery shopping at the supermarket.,"An expressive woman grocery shopping at a bustling supermarket, animated features, cheerful demeanor, carrying a basket; colorful aisles lined with fresh produce and neatly arranged goods in a simple background, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), whimsical, vibrant colors, 2D anime style, smooth lines, lively atmosphere.",48_errands_049c052d-8317-d56b-4216-115d77b24f92.png
49,personal_care,A man shaving in front of a mirror.,"A man with an expressive face shaving in front of a simple mirror, soft lighting, clean lines, minimalistic bathroom background, detailed 2D anime style, illustration by ((Studio Ghibli style, Art by Hayao Miyazaki:1.2)), gentle colors, peaceful mood.",49_personal_care_760b58b3-f3a5-0159-c6ab-d135bc3e2342.png
50,school,A teacher helping a student with homework.,"A teacher with a warm and encouraging smile, sitting closely beside a student at a wooden desk, assisting with homework, colorful books and papers scattered, expressive faces and dynamic poses, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), simple classroom background, soft pastel colors, gentle lighting, heartwarming and uplifting mood.",50_school_7f535715-25bf-9d5f-6aaf-733d30f894d6.png
